"inst"	"score"	"nss.teach"	"nss.all"	"spend"	"ssr"	"career"	"value"	"tariff"	"nss.feedback"	"rank"	"year"	"group"	"former_poly"
"Manchester"	66.2	87.1948122973553	84.0443819346772	7.15416102318511	13.8977142079429	72.0774729075397	4.96199166303419	442.396455595382	68.7458983093222	33	2015	"Russell"	"No"
"Bristol"	66.0999999999999	89.2041987062126	86.1606053209665	5.28777769404671	14.0555839779724	79.470802919708	5.86308364732479	482.781684597218	66.6634151099839	34	2015	"Russell"	"No"
"City"	66	85.683445063061	87.4431301182893	6.79300824384076	17.5233480508189	71.1318795430944	5.85355672978089	394.561583577711	71.673038412525	35	2015	"None"	"No"
"Royal Holloway"	65.2	90.3251835713709	88.9068564036222	4.32546374112952	15.3877104095905	63.700707785642	5.21843081191043	405.131319358815	70.427890192035	36	2015	"1994"	"No"
"Sheffield"	65.0999999999999	90.1953383032933	89.8736564208938	5.74185208465297	14.9352469309963	72.2417427969079	5.52772668340799	438.812008978675	70.0109380304001	37	2015	"Russell"	"No"
"Strathclyde"	64.8	88.0174836091164	87.1999999999999	5.96254791452322	19.3284580506927	75.0473783954516	5.32612360558126	470.237255836112	63.5358839709927	38	2015	"None"	"No"
"Oxford Brookes"	64.5999999999999	89.2942156629374	85.5310049893086	5.55756160285511	16.8950254798864	63.4807417974322	6.22498480725024	369.531704781704	73.2469512195122	39	2015	"Alliance"	"Yes"
"King's College London"	64.5	86.9538991813873	82.9142266620737	6.59131736647377	11.4386920418336	82.2222222222222	6.24047631881052	469.679281345565	65.414311319454	40	2015	"Russell"	"No"
"Aberdeen"	62.5	88.9096962130669	87.9511382565241	4.94290654664648	15.5027206872238	76.6051660516605	5.33033730345184	444.321818181816	67.0903641207815	41	2015	"None"	"No"
"Keele"	62.5	90.4724716907458	91.90625	3.70419772629155	15.1700523351983	69.3320790216368	5.61432305123078	383.533674963396	73.1168019987507	41	2015	"None"	"No"
"Sussex"	61.9	88.5049632492233	88.6906561838524	5.99283209404359	16.5284738645886	54.9033643521832	5.47869528579877	408.576730190571	65.0066642433054	43	2015	"1994"	"No"
"Northampton"	61.7	89.1063647403386	86.843607305936	6.2628812314737	19.7843755685307	58.3643122676579	6.5357103697715	280.243990384615	77.4204603872736	44	2015	"None"	"No"
"Liverpool"	61.3	87.3850506955906	88.3163457908644	6.58142058529033	12.7477488943418	72.2316145393068	5.67999507313977	414.234285714285	68.4385256724638	45	2015	"Russell"	"No"
"Queen's, Belfast"	60.8	89.5770151636073	87.9336028942328	4.58633256610039	15.5143061090148	75.3461538461538	4.96211426713685	391.126143790849	72.9226056248138	46	2015	"Russell"	"No"
"Dundee"	60.5	89.7213788176459	90.2857142857142	5.68320006102437	14.8585901041435	71.4521452145214	5.75251900087296	408.737528779739	69.8386636207881	47	2015	"None"	"No"
"Goldsmiths"	60	91.2543728135931	88.4743504330446	3.82985928076837	16.9161461040948	53.3632286995515	6.4545856600402	345.75	70.2933333333333	48	2015	"1994"	"No"
"UWE Bristol"	59.7	88.9268591247577	87.9542670477745	3.27595265108145	19.9550240927858	68.4995612752267	7.68009643591555	339.178082191781	70.9739279448366	49	2015	"Alliance"	"Yes"
"Derby"	59.3	88.5415295511386	86.5334034718569	5.09809843277426	16.8179374510264	56.3648293963254	5.22104382192258	305.773347897323	76.1884706501711	50	2015	"None"	"No"
